Month,MonthClaimed,Sex,Fault,PolicyType,PolicyNumber,Deductible,AddressChange_Claim,BasePolicy,FraudFound_P
Aug,Aug,Female,Policy Holder,Sedan - Liability,9325,400,4 to 8 years,Liability,0
Jul,Aug,Female,Policy Holder,Sedan - All Perils,9326,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - All Perils,9327,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,9328,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,9329,400,no change,Liability,0
Sep,Oct,Male,Policy Holder,Sedan - Liability,9330,400,no change,Liability,0
Jul,Aug,Female,Policy Holder,Sedan - Collision,9331,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sedan - Collision,9332,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,9333,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,9334,500,2 to 3 years,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,9335,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,9336,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,9337,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,9338,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,9339,400,no change,Liability,0
Mar,Nov,Male,Policy Holder,Sedan - Liability,9340,400,no change,Liability,0
Mar,Mar,Female,Third Party,Sedan - All Perils,9341,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,9342,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,9343,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - Liability,9344,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,9345,400,no change,Collision,0
Jul,Jul,Male,Third Party,Sedan - All Perils,9346,400,4 to 8 years,All Perils,0
Jun,Jul,Female,Policy Holder,Sedan - All Perils,9347,400,no change,All Perils,0
Jun,Aug,Female,Policy Holder,Sedan - All Perils,9348,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Liability,9349,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sport - Collision,9350,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,9351,400,no change,All Perils,1
Jan,Jan,Male,Policy Holder,Utility - Collision,9352,400,no change,Collision,1
Apr,Apr,Male,Policy Holder,Sedan - All Perils,9353,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9354,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9355,400,no change,Liability,0
Mar,Mar,Female,Third Party,Sedan - Liability,9356,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,9357,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - Collision,9358,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,9359,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,9360,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,9361,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,9362,400,no change,Collision,0
Dec,May,Male,Policy Holder,Sport - All Perils,9363,700,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Collision,9364,400,no change,Collision,0
Jul,Sep,Male,Policy Holder,Sedan - Liability,9365,400,no change,Liability,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,9366,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,9367,400,4 to 8 years,Liability,0
Apr,Apr,Male,Third Party,Sedan - Collision,9368,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9369,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,9370,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - All Perils,9371,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9372,400,no change,Collision,0
Mar,Mar,Female,Policy Holder,Sedan - Collision,9373,400,no change,Collision,0
Apr,May,Male,Third Party,Sedan - Collision,9374,400,1 year,Collision,0
May,May,Male,Third Party,Sedan - Liability,9375,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9376,400,no change,Liability,0
Jun,Jul,Male,Third Party,Sedan - Collision,9377,400,no change,Collision,0
Jul,Aug,Male,Policy Holder,Sedan - Liability,9378,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,9379,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - All Perils,9380,400,no change,All Perils,0
Oct,Nov,Male,Third Party,Sedan - Liability,9381,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9382,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9383,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9384,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9385,500,2 to 3 years,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9386,400,no change,Collision,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,9387,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,9388,400,4 to 8 years,All Perils,0
Mar,Mar,Female,Third Party,Sedan - Liability,9389,400,no change,Liability,0
Apr,Apr,Male,Third Party,Sport - Collision,9390,400,no change,Collision,0
May,Jun,Male,Policy Holder,Sedan - Liability,9391,400,no change,Liability,0
Jul,Jul,Female,Policy Holder,Sedan - Collision,9392,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,9393,400,no change,Liability,0
Aug,Aug,Male,Third Party,Sedan - Collision,9394,700,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,9395,400,no change,Collision,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,9396,400,no change,Collision,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,9397,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9398,400,no change,Collision,0
Dec,Dec,Female,Policy Holder,Sedan - Liability,9399,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,9400,400,no change,Liability,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,9401,400,no change,Collision,0
Nov,Nov,Female,Policy Holder,Sedan - All Perils,9402,400,no change,All Perils,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,9403,400,no change,Collision,0
Nov,Nov,Male,Third Party,Sedan - Collision,9404,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9405,400,no change,All Perils,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9406,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9407,400,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - Liability,9408,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,9409,400,4 to 8 years,Liability,0
Aug,Aug,Male,Third Party,Sedan - Collision,9410,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - Collision,9411,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - All Perils,9412,400,no change,All Perils,0
Aug,Aug,Female,Policy Holder,Sedan - Collision,9413,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - Collision,9414,400,no change,Collision,0
Jul,Aug,Male,Policy Holder,Sedan - Liability,9415,400,no change,Liability,0
Jul,Aug,Male,Policy Holder,Sedan - Liability,9416,400,no change,Liability,0
Jun,Jun,Female,Policy Holder,Sedan - Collision,9417,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,9418,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - Liability,9419,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,9420,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,9421,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9422,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,9423,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - All Perils,9424,400,no change,All Perils,0
Nov,Nov,Male,Third Party,Sedan - Liability,9425,700,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,9426,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9427,400,no change,All Perils,0
Nov,Nov,Female,Policy Holder,Sedan - Liability,9428,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9429,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,9430,400,4 to 8 years,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9431,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,9432,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sport - Collision,9433,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,9434,400,no change,Collision,1
Aug,Aug,Female,Policy Holder,Sedan - Collision,9435,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - Liability,9436,300,2 to 3 years,Liability,0
Aug,Oct,Female,Third Party,Sedan - Liability,9437,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9438,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9439,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,9440,400,no change,All Perils,1
Jun,Jun,Male,Policy Holder,Sedan - Collision,9441,400,no change,Collision,0
Jun,Jul,Male,Third Party,Sedan - Liability,9442,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,9443,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,9444,400,no change,Liability,0
Mar,Mar,Male,Third Party,Sedan - Collision,9445,400,no change,Collision,0
Aug,Oct,Male,Policy Holder,Sedan - Collision,9446,400,no change,Collision,0
Feb,Nov,Female,Policy Holder,Sedan - All Perils,9447,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9448,400,no change,Collision,0
Dec,Dec,Female,Policy Holder,Sedan - Collision,9449,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,9450,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,9451,400,4 to 8 years,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,9452,400,no change,Collision,0
Apr,May,Male,Policy Holder,Sedan - Collision,9453,400,no change,Collision,0
Aug,Oct,Male,Policy Holder,Sedan - All Perils,9454,400,no change,All Perils,0
Feb,Dec,Male,Policy Holder,Utility - All Perils,9455,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Collision,9456,400,no change,Collision,0
Jan,Feb,Male,Policy Holder,Utility - All Perils,9457,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - All Perils,9458,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sedan - Liability,9459,400,no change,Liability,0
Apr,Apr,Male,Third Party,Sedan - Liability,9460,400,no change,Liability,0
Jan,Mar,Male,Policy Holder,Sedan - Collision,9461,400,no change,Collision,1
Jul,Jul,Male,Policy Holder,Sedan - Liability,9462,400,no change,Liability,0
Jun,Jul,Male,Policy Holder,Sedan - Liability,9463,400,no change,Liability,0
Aug,Sep,Male,Third Party,Sedan - All Perils,9464,400,no change,All Perils,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,9465,400,1 year,Collision,0
Oct,Oct,Male,Third Party,Sedan - All Perils,9466,400,no change,All Perils,0
Oct,Oct,Female,Policy Holder,Sedan - Liability,9467,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,9468,400,no change,Collision,0
Jan,Feb,Female,Policy Holder,Sedan - Liability,9469,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9470,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,9471,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Utility - All Perils,9472,400,4 to 8 years,All Perils,0
Apr,Apr,Female,Policy Holder,Sedan - Collision,9473,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9474,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,9475,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,9476,400,no change,Collision,0
Jun,Jul,Male,Policy Holder,Sedan - Collision,9477,400,no change,Collision,0
Jun,Jul,Female,Policy Holder,Sedan - Collision,9478,400,no change,Collision,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,9479,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9480,400,no change,Collision,0
Jan,Jan,Male,Third Party,Sedan - All Perils,9481,400,no change,All Perils,0
Nov,Dec,Male,Third Party,Sedan - Collision,9482,400,no change,Collision,0
Sep,Sep,Female,Policy Holder,Sedan - Liability,9483,400,no change,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - Collision,9484,400,no change,Collision,1
Apr,May,Male,Policy Holder,Sedan - Liability,9485,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,9486,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,9487,700,2 to 3 years,Collision,0
Jun,Jun,Male,Third Party,Sedan - All Perils,9488,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9489,400,no change,Liability,0
Jul,Jul,Female,Third Party,Sedan - Liability,9490,400,no change,Liability,0
Jun,Jul,Female,Policy Holder,Sedan - Collision,9491,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9492,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,9493,400,4 to 8 years,Collision,0
Sep,Sep,Male,Third Party,Sedan - Liability,9494,400,no change,Liability,0
Oct,Nov,Male,Third Party,Sedan - Collision,9495,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,9496,400,no change,All Perils,0
Oct,Oct,Male,Third Party,Sedan - Collision,9497,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9498,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,9499,400,no change,Collision,0
Mar,Apr,Male,Third Party,Sport - Collision,9500,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,9501,400,no change,Liability,0
Apr,May,Male,Policy Holder,Sedan - Liability,9502,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - Liability,9503,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - All Perils,9504,400,no change,All Perils,0
Aug,Aug,Female,Third Party,Sedan - All Perils,9505,400,no change,All Perils,0
Jul,Aug,Female,Policy Holder,Sedan - Collision,9506,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9507,400,no change,Collision,0
Dec,Dec,Male,Third Party,Sedan - All Perils,9508,400,no change,All Perils,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,9509,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,9510,400,no change,Liability,1
Sep,Oct,Male,Third Party,Sedan - All Perils,9511,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,9512,400,no change,Liability,0
Sep,Oct,Male,Policy Holder,Sedan - All Perils,9513,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Sedan - Collision,9514,400,4 to 8 years,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9515,400,no change,Liability,0
Jan,Feb,Male,Third Party,Sedan - All Perils,9516,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,9517,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,9518,400,no change,All Perils,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,9519,400,no change,Collision,1
Dec,Dec,Male,Policy Holder,Sedan - Liability,9520,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9521,400,no change,All Perils,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,9522,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,9523,400,no change,Liability,0
Oct,Oct,Female,Third Party,Sedan - Liability,9524,400,no change,Liability,0
Sep,Oct,Male,Policy Holder,Utility - All Perils,9525,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - All Perils,9526,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,9527,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9528,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9529,400,no change,Liability,0
Jun,Aug,Male,Third Party,Sedan - Liability,9530,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,9531,400,no change,Collision,0
May,May,Female,Third Party,Sedan - All Perils,9532,400,no change,All Perils,0
May,Jun,Male,Policy Holder,Sedan - Liability,9533,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,9534,400,no change,Collision,0
May,May,Female,Policy Holder,Sedan - All Perils,9535,400,4 to 8 years,All Perils,0
May,May,Male,Policy Holder,Sedan - Liability,9536,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9537,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - Liability,9538,500,2 to 3 years,Liability,0
Mar,May,Male,Policy Holder,Sedan - Liability,9539,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,9540,400,no change,Liability,0
Dec,Apr,Male,Policy Holder,Utility - All Perils,9541,400,no change,All Perils,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,9542,400,no change,Liability,0
Sep,Sep,Female,Policy Holder,Sedan - Liability,9543,400,no change,Liability,0
Sep,Dec,Male,Policy Holder,Sedan - All Perils,9544,400,no change,All Perils,0
Jul,Jul,Female,Policy Holder,Sedan - Liability,9545,400,no change,Liability,0
Jul,Jul,Female,Third Party,Sedan - Collision,9546,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9547,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9548,400,no change,Liability,0
May,May,Male,Third Party,Sedan - Collision,9549,700,no change,Collision,0
May,May,Female,Policy Holder,Sedan - Collision,9550,400,no change,Collision,0
Oct,Dec,Male,Policy Holder,Sedan - Liability,9551,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9552,400,no change,Liability,0
Jun,Jun,Female,Policy Holder,Sedan - Collision,9553,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sport - All Perils,9554,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9555,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,9556,400,1 year,All Perils,0
Mar,Jul,Male,Policy Holder,Sedan - Liability,9557,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - All Perils,9558,400,no change,All Perils,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9559,400,no change,Collision,0
Oct,Oct,Female,Policy Holder,Sedan - Liability,9560,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,9561,400,no change,Liability,0
Feb,Mar,Female,Third Party,Sedan - All Perils,9562,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,9563,400,no change,All Perils,1
Mar,Mar,Male,Policy Holder,Sedan - Collision,9564,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,9565,400,no change,Liability,0
Jun,Jul,Female,Third Party,Sedan - All Perils,9566,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9567,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Collision,9568,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9569,400,no change,Collision,0
Mar,Apr,Male,Third Party,Sedan - Collision,9570,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,9571,400,no change,Collision,0
Nov,Dec,Female,Policy Holder,Sedan - Collision,9572,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9573,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9574,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9575,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,9576,400,no change,All Perils,0
Nov,Nov,Male,Third Party,Sedan - Collision,9577,400,4 to 8 years,Collision,0
Sep,Sep,Female,Third Party,Sedan - All Perils,9578,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Sedan - Liability,9579,400,no change,Liability,0
Aug,Aug,Female,Policy Holder,Sedan - Liability,9580,700,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,9581,400,no change,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - Collision,9582,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - Collision,9583,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9584,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9585,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9586,400,no change,Collision,0
Dec,Dec,Male,Third Party,Sedan - All Perils,9587,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,9588,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9589,500,2 to 3 years,Liability,0
Jan,Feb,Male,Third Party,Sedan - All Perils,9590,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,9591,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - Liability,9592,400,no change,Liability,0
Jul,Oct,Male,Policy Holder,Sedan - All Perils,9593,400,no change,All Perils,0
Apr,Apr,Male,Third Party,Sedan - All Perils,9594,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,9595,400,no change,Collision,0
Mar,May,Male,Policy Holder,Sedan - Collision,9596,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - Liability,9597,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,9598,400,4 to 8 years,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,9599,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - All Perils,9600,400,no change,All Perils,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,9601,400,no change,All Perils,0
Oct,Dec,Male,Policy Holder,Sedan - Collision,9602,400,no change,Collision,0
Feb,Feb,Female,Policy Holder,Sedan - All Perils,9603,400,no change,All Perils,0
Mar,Mar,Female,Third Party,Sedan - All Perils,9604,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Liability,9605,400,no change,Liability,0
Aug,Sep,Male,Policy Holder,Sedan - Liability,9606,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Utility - All Perils,9607,400,no change,All Perils,0
Aug,Aug,Female,Policy Holder,Sedan - All Perils,9608,400,no change,All Perils,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,9609,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,9610,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - All Perils,9611,700,no change,All Perils,0
Jun,Jun,Male,Third Party,Sedan - Collision,9612,400,no change,Collision,0
Oct,Dec,Male,Policy Holder,Sedan - All Perils,9613,400,no change,All Perils,0
Jan,Feb,Female,Policy Holder,Sedan - All Perils,9614,400,no change,All Perils,1
Dec,Dec,Male,Third Party,Sedan - All Perils,9615,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,9616,400,no change,Collision,0
Mar,Apr,Male,Third Party,Sedan - Collision,9617,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,9618,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Liability,9619,400,4 to 8 years,Liability,0
May,May,Female,Third Party,Sedan - Liability,9620,400,no change,Liability,0
May,May,Male,Third Party,Sedan - Collision,9621,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,9622,400,no change,Collision,0
Jul,Jul,Male,Third Party,Sedan - All Perils,9623,400,no change,All Perils,0
Jun,Jul,Female,Third Party,Sedan - Collision,9624,400,no change,Collision,0
Jun,Jul,Female,Policy Holder,Sedan - Collision,9625,400,no change,Collision,0
Sep,Oct,Male,Third Party,Sedan - Liability,9626,400,no change,Liability,0
Sep,Sep,Male,Third Party,Sedan - Collision,9627,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9628,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9629,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9630,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,9631,400,no change,All Perils,0
Apr,Apr,Male,Third Party,Sedan - Collision,9632,400,no change,Collision,0
May,May,Female,Policy Holder,Sport - Collision,9633,400,no change,Collision,0
May,Jul,Female,Policy Holder,Sedan - Collision,9634,400,no change,Collision,0
May,Jul,Male,Third Party,Sedan - Collision,9635,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,9636,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,9637,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - All Perils,9638,400,no change,All Perils,0
Aug,Aug,Female,Policy Holder,Sedan - Liability,9639,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,9640,500,2 to 3 years,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,9641,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,9642,700,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,9643,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,9644,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,9645,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - Liability,9646,400,no change,Liability,0
Feb,Feb,Male,Third Party,Sedan - All Perils,9647,400,1 year,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,9648,400,no change,All Perils,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,9649,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Utility - All Perils,9650,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,9651,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - All Perils,9652,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - All Perils,9653,400,no change,All Perils,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,9654,400,no change,Collision,0
Nov,Nov,Male,Third Party,Sedan - All Perils,9655,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,9656,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,9657,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,9658,400,no change,Liability,0
Jan,Feb,Female,Third Party,Sedan - Collision,9659,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,9660,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,9661,400,4 to 8 years,All Perils,0
Oct,Oct,Female,Policy Holder,Sedan - Liability,9662,400,no change,Liability,0
Dec,Dec,Female,Third Party,Sedan - Collision,9663,400,no change,Collision,0
